ID,Work Item Type,Title,Assigned To,State,Tags
,Feature,"Once user logs in, user should be able to select the country for which work needs to be done",shivam.jain@shell.com,New,
,Feature,On the country dashboard user sees the in-progress tasks which have started. This is default landing page,shivam.jain@shell.com,New,
,Feature,User should be able to create the current and future tasks by manualy doing one by one in system or using bulk upload by excel. User should be able to see the template for bullk upload,shivam.jain@shell.com,New,
,Feature,"All the newly created tasks with start date as today or past should be in ""in-progress"" state",shivam.jain@shell.com,New,
,Feature,"All future tasks should be in ""Not Started"" date",shivam.jain@shell.com,New,
,Feature,"System should be able to move tasks from ""not startred"" to ""in-progress"" automatically when the start date becomes current date",shivam.jain@shell.com,New,
,Feature,"User should be able to cancel the tasks if required. This can be done by bulk sheet as well. This is applicable for ""Not-started"" tasks",shivam.jain@shell.com,New,
,Feature,"User should be able to filter the tasks according to different criteria. These are 
Site ID
Department
Category
Created Time
Deadline time
Planogram name",shivam.jain@shell.com,New,
,Feature,User should be able to navigate to multiple tabs,shivam.jain@shell.com,New,
,Feature,"User must be able to open the task and able to edit it. The edit is possible for ""Not-Started"" tasks",shivam.jain@shell.com,New,
,Feature,Error Handling,shivam.jain@shell.com,New,
